Date,NO,NOx,Benzene,Toluene,AT,RH,WS,WD,SR,BP,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2023-08-26,77.205,105.67708333333333,11.5,29.215,32.69041666666667,54.89166666666667,1.74125,110.40583333333332,972.6383333333333,817.4187499999999,143.98958333333334,408.8416666666667,35.59125,14.394583333333335,8.262500000000001,55.456041666666664,9.337916666666667,408.8416666666667,Severe
2023-08-27,51.634166666666665,74.325,9.2675,24.661666666666665,33.020833333333336,51.91958333333333,1.6920833333333334,112.31708333333334,972.7329166666667,816.8033333333333,237.95708333333334,431.5508333333333,28.504583333333333,7.155833333333334,7.990416666666667,58.87854166666667,10.89625,431.5508333333333,Severe
2023-08-28,7.809166666666666,19.522916666666667,7.035,20.107083333333332,32.99125,52.009166666666665,1.9633333333333332,115.26416666666667,972.7824999999999,816.1879166666666,185.51666666666665,415.4245833333334,14.930833333333334,7.5683333333333325,7.58125,50.58208333333334,11.490416666666667,415.4245833333334,Severe
2023-08-29,50.01833333333334,71.105,4.802083333333333,15.555,33.097500000000004,54.39666666666667,1.6729166666666666,97.41125,972.9408333333334,815.5725000000001,172.6975,403.641875,28.57625,8.572916666666666,3.4045833333333335,37.04416666666666,19.83125,393.90625,Severe
2023-08-30,30.465416666666666,43.66958333333333,2.5929166666666665,11.205,33.445,53.559583333333336,1.3604166666666666,104.58083333333333,972.8566666666667,814.9570833333333,172.37750000000003,388.4783333333333,18.124166666666667,7.167916666666667,4.310833333333334,51.61875,11.730833333333335,388.4783333333333,Severe
2023-08-31,6.63,12.186666666666667,1.5720833333333333,10.258333333333333,33.208333333333336,53.38916666666666,1.1154166666666667,100.23541666666667,972.5079166666668,814.3420833333333,151.81541666666666,380.18416666666667,7.907083333333333,5.4504166666666665,4.4375,95.42812500000001,11.275416666666667,380.18416666666667,Very Poor
2023-09-01,50.882083333333334,73.27499999999999,0.79625,5.684583333333333,33.76333333333333,53.6625,1.1879166666666667,105.88458333333334,839.1175,813.72625,114.5825,358.26666666666665,28.61791666666667,5.536666666666666,5.44,88.10791666666667,6.140416666666667,358.26666666666665,Very Poor
2023-09-02,46.9325,70.49875,0.36916666666666664,2.57125,30.362083333333334,48.50833333333333,1.5170833333333336,96.70416666666667,734.7175000000001,813.1112499999999,158.82375,286.9266666666667,29.379166666666666,5.1570833333333335,5.404583333333334,66.91562499999999,7.052083333333333,286.9266666666667,Poor
2023-09-03,57.52875,82.6075,0.3566666666666667,2.4391666666666665,29.50916666666667,43.67458333333334,1.4745833333333334,89.16541666666667,699.0191666666666,812.4954166666666,159.76458333333332,273.0366666666667,31.30666666666667,3.5570833333333334,2.4266666666666667,163.77375,6.647916666666667,273.0366666666667,Poor
2023-09-04,62.298750000000005,90.44916666666667,0.33749999999999997,1.9120833333333334,35.729166666666664,49.14166666666667,1.3079166666666666,105.52541666666667,743.99375,811.8804166666667,85.79541666666667,276.35729166666664,35.19,2.5741666666666667,1.9433333333333334,121.45541666666666,6.277083333333334,269.4945833333333,Poor
2023-09-05,33.288333333333334,59.30458333333333,0.3491666666666667,3.3516666666666666,35.07,48.94583333333333,1.6829166666666666,63.85583333333333,743.4716666666667,811.265,79.30375,157.5,32.525416666666665,2.6654166666666668,1.2620833333333332,53.15833333333333,17.232083333333332,157.5,Moderate
2023-09-06,23.56375,51.03625,0.355,3.55625,35.062916666666666,49.52375,1.54875,49.36833333333333,766.6395833333332,810.6491666666667,74.93124999999999,130.89666666666668,34.345,3.2062500000000003,2.4483333333333333,54.756875,13.604583333333332,130.89666666666668,Moderate
2023-09-07,59.49375,93.85083333333334,0.4683333333333333,3.4429166666666666,34.505833333333335,49.36666666666667,1.0783333333333334,69.93458333333334,967.4083333333333,810.0341666666667,61.35958333333334,124.25041666666668,42.96958333333333,3.3037500000000004,2.53375,56.00729166666667,11.285000000000002,124.25041666666668,Moderate
2023-09-08,27.658749999999998,56.872083333333336,0.4345833333333333,8.78875,33.61291666666667,51.21791666666667,1.4375,46.36541666666667,1024.9583333333333,809.4187499999999,72.9175,119.38416666666666,36.51541666666667,4.574583333333333,3.1641666666666666,51.754999999999995,12.387500000000001,119.38416666666666,Moderate
2023-09-09,8.369166666666667,20.424583333333334,0.25833333333333336,8.00625,33.46458333333333,53.803333333333335,2.223333333333333,41.967083333333335,1019.8445833333334,808.8033333333333,40.63291666666667,64.55041666666666,15.073333333333332,5.075833333333333,2.810416666666667,51.0,6.22,64.79,Satisfactory
2023-09-10,11.690833333333332,23.3075,0.7087500000000001,7.31375,31.200833333333335,59.865,2.4179166666666667,49.60125,980.6845833333333,808.1879166666666,71.86958333333332,65.66833333333334,14.530416666666667,3.46875,3.1058333333333334,51.007083333333334,5.701250000000001,73.01916666666666,Satisfactory
2023-09-11,10.105,22.656666666666666,0.5570833333333333,13.025833333333333,31.102500000000003,59.1175,1.6020833333333335,39.864583333333336,967.1070833333333,807.5725000000001,61.587916666666665,82.98958333333333,15.688333333333333,3.48375,2.9583333333333335,62.81458333333333,4.892916666666667,82.98958333333333,Satisfactory
