Date,NO,NOx,Benzene,Eth-Benzene,MP-Xylene,RH,WS,WD,RF,TOT-RF,SR,BP,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2024-08-30,16.214166666666667,14.738750000000001,0.03,0.010416666666666666,0.07541666666666667,64.85333333333334,1.2379166666666668,100.35916666666667,0.022083333333333333,0.0,227.65333333333334,748.4066666666668,23.680000000000003,19.544999999999998,0.08750000000000001,15.478333333333333,4.8237499999999995,6.766249999999999,29.305833333333336,29.305833333333336,Good
2024-08-31,2.0833333333333335,1.8620833333333333,0.024166666666666666,0.02,0.07666666666666667,64.73916666666666,1.1308333333333334,103.27708333333334,0.01,0.0,201.75458333333333,748.8870833333334,19.847916666666666,20.408333333333335,0.24750000000000003,15.329166666666666,5.46125,5.194999999999999,41.614583333333336,40.44958333333333,Good
2024-09-01,0.11583333333333333,0.06583333333333334,0.014166666666666668,0.014166666666666668,0.05833333333333333,62.05083333333334,0.995,101.63333333333333,0.004166666666666667,0.0,118.83083333333333,749.3341666666666,16.015,25.1775,0.40625,15.397916666666667,5.690833333333334,2.6950000000000003,61.697916666666664,61.697916666666664,Satisfactory
2024-09-02,0.13875,0.16208333333333333,0.011250000000000001,0.010416666666666666,0.04958333333333333,60.81666666666666,0.8429166666666666,112.65708333333333,0.0,0.0,57.712916666666665,749.5216666666666,13.27625,30.209166666666665,0.6754166666666667,15.651666666666666,5.7558333333333325,3.88125,55.318333333333335,59.64166666666667,Satisfactory
2024-09-03,0.6258333333333334,1.68875,0.0375,0.02,0.11958333333333333,78.04,0.7050000000000001,182.16291666666666,0.029166666666666664,0.029166666666666664,48.61958333333333,749.1191666666667,28.131249999999998,46.18833333333333,2.1045833333333333,15.8125,5.279583333333333,10.34375,8.737083333333333,44.72875,Good
2024-09-04,0.3516666666666666,0.9783333333333334,0.030833333333333334,0.014583333333333335,0.09499999999999999,81.85833333333333,1.0916666666666666,189.9675,0.035833333333333335,0.035833333333333335,61.82666666666666,748.62875,16.586666666666666,30.26375,1.2679166666666666,15.2575,5.150416666666667,7.191666666666666,12.456666666666665,30.26375,Good
2024-09-05,0.39999999999999997,1.1116666666666666,0.03,0.012916666666666667,0.09333333333333334,78.74458333333334,0.6916666666666668,180.24249999999998,0.008333333333333333,0.008333333333333333,62.07416666666666,747.1883333333334,22.304166666666664,32.489583333333336,1.4316666666666666,14.9625,5.1375,8.074583333333333,10.742916666666666,32.489583333333336,Good
2024-09-06,0.5304166666666666,1.3829166666666666,0.03875,0.02,0.11,77.61708333333333,0.6437499999999999,169.60708333333335,0.0016666666666666668,0.0016666666666666668,70.42458333333333,747.44875,38.56791666666667,49.81708333333333,1.7,15.063333333333333,5.13875,9.625416666666666,11.2025,49.30375,Satisfactory
2024-09-07,0.6608333333333333,1.2258333333333333,0.04583333333333334,0.02,0.13833333333333334,70.77791666666667,0.59,261.04583333333335,0.0,0.0,40.397083333333335,745.9512500000001,45.149434523809525,51.54583333333333,1.27,17.913333333333334,5.099583333333333,12.008333333333333,18.503333333333334,51.27375,Satisfactory
2024-09-08,0.73875,0.9404166666666667,0.05000000000000001,0.02,0.14666666666666667,70.16125,0.4895833333333333,249.94375,0.0,0.0,0.0,746.3166666666666,47.58035714285714,54.39083333333334,1.0729166666666667,17.93,4.99,11.152916666666668,61.8375,64.08416666666666,Satisfactory
2024-09-09,0.405,0.32208333333333333,0.04708333333333334,0.02,0.135,66.78333333333333,0.6558333333333334,180.37249999999997,0.0,0.0,40.30625,747.0016666666667,40.75,55.374583333333334,0.9791666666666666,16.5675,4.968333333333333,9.56,64.58041666666666,73.83833333333334,Satisfactory
