Date,NO,NOx,Benzene,Toluene,RH,WS,WD,RF,TOT-RF,SR,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2024-11-28,2.3991666666666664,7.71125,0.935,1.4925,69.1775,3.513333333333333,334.79791666666665,0.002916666666666667,0.002916666666666667,49.08375,40.91625,99.05354166666666,13.559583333333334,7.017499999999999,5.42875,43.289791666666666,63.26458333333333,97.3125,Satisfactory
2024-11-29,2.3545833333333333,5.202916666666667,0.9683333333333333,2.2025,69.25666666666667,2.69875,336.5258333333333,0.8191666666666667,0.8191666666666667,46.39625,32.8225,81.47729166666666,7.729166666666667,5.201666666666667,4.68375,36.68,46.720416666666665,79.94250000000001,Satisfactory
2024-11-30,2.379583333333333,5.221666666666667,1.02875,4.335833333333333,69.87125,3.404583333333333,338.25416666666666,2.4129166666666664,2.4129166666666664,31.042916666666667,18.556250000000002,42.47541666666667,7.723333333333334,4.565833333333333,3.4762500000000003,30.88625,30.501666666666665,43.752916666666664,Good
2024-12-01,2.495833333333333,4.87125,1.0454166666666667,2.4066666666666667,70.04375,3.9254166666666666,338.9379166666667,1.2166666666666666,1.2166666666666666,30.199166666666667,7.604166666666667,15.242083333333333,6.672916666666667,4.259583333333333,2.7554166666666666,30.140833333333333,25.28,32.369166666666665,Good
2024-12-02,3.0079166666666666,6.82,1.06375,2.268333333333333,70.18208333333334,1.7079166666666667,331.98875000000004,0.11,0.11,63.288333333333334,11.009166666666667,23.730833333333333,10.280833333333334,4.599166666666666,2.9616666666666664,30.102500000000003,20.23,33.515,Good
2024-12-03,2.918333333333333,6.932083333333334,0.7779166666666666,2.609583333333333,68.35833333333333,2.06375,352.9683333333333,0.017916666666666668,0.017916666666666668,98.17333333333333,22.282083333333333,47.97229166666667,10.729583333333332,4.36625,3.50625,32.22416666666667,23.17,46.134166666666665,Good
2024-12-04,3.57625,8.055,0.7720833333333333,3.1483333333333334,67.83166666666666,1.4825,351.71374999999995,0.017083333333333336,0.017083333333333336,124.45166666666667,14.818333333333333,36.32458333333333,10.228333333333333,5.761666666666667,3.2729166666666667,32.617916666666666,12.809166666666668,37.84125,Good
2024-12-05,7.195833333333333,11.084166666666667,0.9187500000000001,4.995,66.80208333333333,1.1554166666666668,332.78125,0.12374999999999999,0.12374999999999999,132.38291666666666,9.43625,20.81416666666667,11.500416666666666,5.855416666666667,3.969583333333333,33.17958333333333,11.329166666666666,33.17958333333333,Good
2024-12-06,7.901666666666667,10.522083333333333,0.8504166666666667,8.6425,68.8725,0.9466666666666667,314.3933333333333,0.01,0.01,115.55416666666667,15.19625,32.9425,9.658333333333333,4.376666666666667,2.94875,30.5725,9.1975,35.125416666666666,Good
2024-12-07,5.72625,8.859166666666667,0.84625,5.765833333333333,69.42083333333333,1.0766666666666667,232.93458333333334,0.0,0.0,109.11625,17.165833333333335,39.97541666666667,9.905833333333334,5.105833333333333,3.2825,32.322916666666664,11.325833333333334,39.97541666666667,Good
2024-12-08,3.985,7.182083333333334,0.8045833333333333,4.699583333333333,69.54625,1.0829166666666665,235.50625,0.0,0.0,120.265,19.350416666666668,47.79583333333333,9.293333333333333,4.969166666666666,3.5262499999999997,33.732083333333335,16.041666666666668,45.41041666666666,Good
2024-12-09,3.70375,9.297916666666667,1.8004166666666668,5.402083333333334,69.55375,1.0766666666666667,249.32416666666666,0.0,0.0,111.24541666666666,29.763333333333335,79.03333333333333,14.785416666666668,6.83875,4.182083333333334,34.628750000000004,18.21708333333333,79.03333333333333,Satisfactory
2024-12-10,2.6558333333333333,8.044166666666667,5.2525,11.800416666666665,69.435,1.7354166666666666,200.81833333333336,0.0,0.0,86.09291666666667,36.98166666666666,98.42416666666666,13.840000000000002,8.139999999999999,5.318333333333333,34.031666666666666,26.370833333333334,95.79875,Satisfactory
2024-12-11,2.2758333333333334,5.804583333333333,3.7733333333333334,11.77625,69.81708333333334,2.18625,163.43583333333333,0.21583333333333332,0.21583333333333332,51.61208333333334,28.883750000000003,75.37583333333333,9.307083333333333,5.329583333333333,5.136666666666667,31.96083333333333,23.54625,75.37583333333333,Satisfactory
2024-12-12,2.2916666666666665,6.140833333333333,5.730833333333333,17.249166666666667,70.80375,1.885,197.72541666666666,1.6670833333333333,1.6554166666666668,27.514166666666668,18.80875,48.34041666666667,10.006666666666666,4.993333333333333,4.2941666666666665,34.27708333333333,23.769583333333333,47.0425,Good
2024-12-13,2.2845833333333334,5.385000000000001,6.07375,16.924583333333334,70.97541666666667,2.339166666666667,244.20375,0.6891666666666666,0.67875,56.47,26.82375,75.3925,8.218333333333334,4.147916666666666,4.6450000000000005,33.032916666666665,47.02708333333334,75.3925,Satisfactory
2024-12-14,2.3745833333333333,6.584166666666667,6.565416666666667,14.094999999999999,70.74916666666667,2.384583333333333,114.52375,0.0,0.0,89.81916666666666,31.593333333333334,88.58999999999999,10.930833333333332,5.34875,4.258333333333334,37.24041666666667,42.5325,88.58999999999999,Satisfactory
2024-12-15,2.3908333333333336,8.596666666666666,6.71,18.182083333333335,70.61874999999999,2.3941666666666666,171.29250000000002,0.0,0.0,97.26875,31.78,87.63375,15.645000000000001,6.21,4.2700000000000005,32.46375,41.88,87.63375,Satisfactory
2024-12-16,2.375,8.442083333333334,6.21375,16.094583333333333,70.54291666666667,2.3970833333333332,191.505,0.0,0.0,107.57,34.82375,97.69416666666666,15.321666666666667,8.321250000000001,4.56625,36.649166666666666,50.47541666666667,95.11833333333334,Satisfactory
2024-12-17,2.32,5.548749999999999,3.905,19.145,70.5,2.2354166666666666,184.23291666666668,0.0,0.0,86.31333333333333,35.83,93.22416666666668,8.604166666666666,5.885000000000001,4.418333333333333,35.583333333333336,55.703125,93.22416666666668,Satisfactory
2024-12-18,2.4250000000000003,5.644583333333333,4.373333333333334,20.808333333333334,70.34875000000001,2.10875,211.3166666666667,0.29375,0.29375,45.11000000000001,37.122499999999995,97.79583333333333,8.68,7.200833333333333,4.395833333333333,35.24375,29.173333333333332,97.79583333333333,Moderate
2024-12-19,2.629166666666667,5.367083333333333,4.440833333333333,18.66125,71.17791666666666,1.6470833333333335,226.7875,0.56875,0.56875,44.98166666666666,26.25375,63.765416666666674,7.609999999999999,5.973333333333334,3.5004166666666667,38.589999999999996,21.39125,63.765416666666674,Satisfactory
2024-12-20,2.8825,6.021666666666667,4.531666666666667,24.092083333333335,71.49291666666666,1.495,223.43833333333336,0.2404166666666667,0.2404166666666667,59.430416666666666,17.534166666666668,42.08208333333334,8.634583333333333,4.56125,2.815416666666667,37.26541666666667,17.660416666666666,43.126666666666665,Good
